Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
Sunset Park,40.64510294925429,-74.01031618527784,Cityfox,59f562ea0d173f51792135e6,Music Venue,40.64764116596316,-74.0193192470786,New York,NY
Sunset Park,40.64510294925429,-74.01031618527784,Aris Sports Bar & Restaurant,5ca2489f79f6c7002cd4f16a,Dive Bar,40.650392,-74.01208,New York,NY
Sunset Park,40.64510294925429,-74.01031618527784,Hunter Bar 888,575223e3498ef100de6b4999,Cocktail Bar,40.644325,-74.000778,New York,NY
Greenpoint,40.7302009848647,-73.95424093127393,The Greenpoint Palace,5c01d4f3da5ede0039f90aca,Dive Bar,40.725493250406835,-73.94452301615198,New York,NY
Greenpoint,40.7302009848647,-73.95424093127393,Williamsburg Hotel Rooftop,5b5146b88d0a530039fdb3fc,Hotel Bar,40.72179408551991,-73.95908848556842,New York,NY
Greenpoint,40.7302009848647,-73.95424093127393,Grand Republic Cocktail Club,5a51a92497461750cb744252,Cocktail Bar,40.72972222591839,-73.95989711429449,New York,NY
Greenpoint,40.7302009848647,-73.95424093127393,Klein’s,5b99b9fa2db4a9002cea77a5,Hotel Bar,40.720732544154394,-73.95896954613607,New York,NY
Brighton Beach,40.57682506566604,-73.96509448785336,Oceanview Bites,5b5f4ea97dc9e1002c3aec14,Restaurant,40.573923,-73.973835,New York,NY
Brighton Beach,40.57682506566604,-73.96509448785336,The Bunker Club,4f2b6202e4b01675768460eb,Nightclub,40.579444,-73.954587,New York,NY
Sheepshead Bay,40.58689012678384,-73.94318640482979,Blu,59c47e802bf9a9165f3e97d1,Bar,40.58365623982042,-73.95034882875768,New York,NY
Sheepshead Bay,40.58689012678384,-73.94318640482979,Atlantis boat,51b80936498e4e38c705952b,Nightclub,40.58373257696705,-73.94705243810533,New York,NY
Sheepshead Bay,40.58689012678384,-73.94318640482979,draft barn 3,57faac07498e44d87fd0f4cd,Beer Bar,40.584591,-73.945041,New York,NY
Sheepshead Bay,40.58689012678384,-73.94318640482979,Carol's,4fe56c1be4b067dfbe29a498,Other Nightlife,40.587758,-73.954434,New York,NY
Manhattan Terrace,40.61443251335098,-73.95743840559939,Davry,59f688069de23b1d61ef6e64,Sports Bar,40.606244,-73.964918,New York,NY
Manhattan Terrace,40.61443251335098,-73.95743840559939,Supremacy,5b2db5c6d48ec1003919f85b,Hookah Bar,40.617852,-73.963996,New York,NY
Flatbush,40.63632589026677,-73.95840106533903,Privé,59bdf4a4a795bd2dccb722df,Lounge,40.635444,-73.950537,New York,NY
Flatbush,40.63632589026677,-73.95840106533903,Beverley Social Club,5a7612818c35dc32a29899ce,Event Space,40.643625,-73.969441,New York,NY
Crown Heights,40.67082917695294,-73.94329119073582,The Content Kingdom,575cb750498e2b7bca6dce7c,Lounge,40.671132,-73.941439,New York,NY
Crown Heights,40.67082917695294,-73.94329119073582,Suite 704,5be7dd10c66666002c8a2263,Bar,40.674538,-73.95003,New York,NY
Crown Heights,40.67082917695294,-73.94329119073582,Chez Ster,589758b676b8b258548a7775,Other Nightlife,40.67245099732674,-73.93985718515394,New York,NY
Crown Heights,40.67082917695294,-73.94329119073582,Bar Bayeux,5c2865727c891c002dcf29af,Cocktail Bar,40.662003,-73.950935,New York,NY
Crown Heights,40.67082917695294,-73.94329119073582,Small House,5b4976539deb7d002c68925f,Nightclub,40.676437,-73.944627,New York,NY
Crown Heights,40.67082917695294,-73.94329119073582,D’kalabash,5bb028fab8fd9d002c37a713,Lounge,40.680649,-73.949966,New York,NY
